full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
steipete/claude-code-mcp,1208,1208,150,0,0,0,https://github.com/steipete/claude-code-mcp
catlog22/Claude-Code-Workflow,1631,1631,137,10,10,1,https://github.com/catlog22/Claude-Code-Workflow
trailofbits/claude-code-config,1722,1722,132,6,6,0,https://github.com/trailofbits/claude-code-config
farion1231/cc-switch,36225,36225,2164,216,216,17,https://github.com/farion1231/cc-switch
Yeachan-Heo/oh-my-claudecode,18145,18145,1277,297,297,26,https://github.com/Yeachan-Heo/oh-my-claudecode
simonw/claude-code-transcripts,1368,1368,144,1,1,0,https://github.com/simonw/claude-code-transcripts
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2518,2518,420,13,13,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Njengah/claude-code-cheat-sheet,1505,1505,190,1,1,1,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
jeremylongshore/claude-code-plugins-plus-skills,1764,1764,231,5,5,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
andrepimenta/claude-code-chat,1013,1013,156,1,1,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,364,0,0,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1192,1192,128,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
jarrodwatts/claude-hud,15628,15628,651,115,115,5,https://github.com/jarrodwatts/claude-hud
0xfurai/claude-code-subagents,806,806,144,2,2,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,1005,1005,126,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1644,1644,103,3,3,0,https://github.com/pchalasani/claude-code-tools
peterkrueck/Claude-Code-Development-Kit,1335,1335,152,-1,-1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
ComposioHQ/awesome-claude-skills,49725,49725,5155,106,106,8,https://github.com/ComposioHQ/awesome-claude-skills
alirezarezvani/claude-code-tresor,658,658,145,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,1021,1021,117,5,5,0,https://github.com/d-kimuson/claude-code-viewer
winfunc/opcode,21216,21216,1626,2,2,1,https://github.com/winfunc/opcode
oboard/claude-code-rev,193,193,251,193,193,251,https://github.com/oboard/claude-code-rev
anthropics/claude-agent-sdk-demos,2004,2004,284,1,1,0,https://github.com/anthropics/claude-agent-sdk-demos
tanbiralam/claude-code,57,57,93,57,57,93,https://github.com/tanbiralam/claude-code
wasabeef/claude-code-cookbook,1051,1051,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,769,769,125,0,0,0,https://github.com/revfactory/claude-code-mastering
cixingguangming55555/wechat-bot,2530,2530,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
kepano/obsidian-skills,18547,18547,1098,54,54,5,https://github.com/kepano/obsidian-skills
ccplugins/awesome-claude-code-plugins,657,657,169,0,0,1,https://github.com/ccplugins/awesome-claude-code-plugins
daymade/claude-code-skills,754,754,113,3,3,0,https://github.com/daymade/claude-code-skills
